Neil Gorsuch|To some lawyers, all facts are created equal.
Dennis R. Miller|Revenge in the hands of your enemies is a loaded gun. You can beg them for mercy, wave the white flag of surrender, but the only true elixir for the vitriol they bestow is a measure of hatred dispensed of your own.
Chuck Palahniuk, Survivor|Nobody wants to worship you if you have the same problems, the same bad breath and messy hair and hangnails, as a regular person. You have to be everything regular people aren’t. Where they fail, you have to go all the way. Be what people are too afraid to be. Become whom they admire. People shopping for a messiah want quality. Nobody is going to follow a loser. When it comes to choosing a savior, they won't settle for just a human being.
Catherine Bailey, Black Diamonds: The Rise and Fall of an English Dynasty|[T]here are no illnesses in nature, only relationships. There are, of course, naturally occurring events, including infectious viruses, malignant growths, ruptures of tissues, and unusual chromosome constellations, but these are not ipso facto illnesses. Without the social meaning that humans attach to them they do not constitute illness or disease: The fracture of a septuagenarian's femur has, within the world of nature, so more significance than the snapping of an autumn leaf from its twig; and the invasion of a human organism by cholera germs carries with it no more the stamp of "illness" than the souring of milk by other forms of bacteria. (Sedgwick, 1972, p. 211)
Derek Blasberg|The holidays are my favorite time of year! Christmas was always one of the biggest celebrations in Sweden, and I look forward to the festivities each year.
Patience Johnson, Why Does an Orderly God Allow Disorder|I am a bit old fashion but I believe in prayer, I believe prayer can move mountain. Prayer might not be our responsibility but it is a good starting place. It can give us heaven's prospectives on human problems. I know we need to do a bit more than pray but that doesn't mean we don't need to pray.
Truth Devour, Wantin|Our fated untainted soul gives us free reign, only doth backward pull our clouded minds when we ourselves falsely protect from pain.
Pradeepa Pandiyan|Go for the love that sets you free, not the love that destroys you from inside.
Nurudeen Ushawu|I can see education is everywhere, and many people were educated. But I realize that common sense is not that common.
Dada Bhagwan|The mind that does inner intentions (bhaav-mann) is the ‘charge’ mind. The mind that is getting exhausted (dravya-mann) is the ‘discharge’ mind. Bhaav-mann creates the worldly life. Dravya-mann brings an end to the worldly life. When egoism goes away, bhaav-mann vanishes.
Brima Lamin & Chantale Wesley-Lamin, The Walk - Memoir of a Liberian Civil War Survivor, 2016|He was a nobody. Yet and still, he held the gun and therfore all of the power.
Bill O'Reilly|I failed eighth grade twice, and then they moved me up to ninth grade. Then I failed that and dropped out. My teacher would hand me a test, and I'd grade it myself with an F, then put my head down on the desk.
Ana Claudia Antunes, ACross Tic|Rules for navigating the net, Or people will roll their eye Lest you can't roll the R rect: Literally, don´t dink and dive!
Edmund Burke, Speech on Conciliation with America|if one of two or more joint wrongdoers has to pay all the damages, he cannot recover contribution from his fellows.
Jack Dangermond|Once I tried to make a standardization of staircases. Probably that is one of the oldest of the standardizations. Of course, we design new staircase steps every day in connection with all our houses, but a standardized step depends on the height of the buildings and on all kinds of things.
Rachel B. Glaser, Paulina & Fran|Fools – in other words most people – imagine that it would be a wonderful achievement to be able to recover our youth; but those who know life are aware how little it would profit us. ("A Woman's Vengeance")
Melania Trump|I usually decide what to wear in the morning, but sometimes, I'll have a favorite coat or sweater or shoes, and I'll wear them everyday for a week!
Sanchita Pandey, Voyage to Happiness!|Say thank you for a beautiful life and be grateful for the small things of life which are miracles we have actually got used to. Gratitude banishes negativity from your life, brings happiness and you start living in abundance and attract more love and prosperity because of the way you think about your life.
Abhijit Naskar, In Search of Divinity: Journey to The Kingdom of Conscience|Any thought sequence that minimizes anxiety would get reinforced over time. The sequence would be maintained during the person’s development and would be provoked in contexts where refutation of the belief might occur. So, any kind of refutation of a person’s religious beliefs makes the beliefs only stronger.
Seid Šabanović|An exaltation of spirit lifted me, as it were, far above the earth and the sinful creatures crawling on its surface; and I deemed myself as an eagle among the children of men, soaring on high, and looking down with pity and contempt on the grovelling creatures below.
Jim Henson, It's Not Easy Being Green: And Other Things to Consider|I try hard not to judge anyone, and I try to bless everyone who is a part of my life, particularly anyone with whom I am having any problems
Elinor Wylie|I love bright words, words up and singing early;Words that are luminous in the dark, and sing;Warm lazy words, white cattle under trees;I love words opalescent, cool, and pearly,Like midsummer moths, and honied words like bees, Gilded and sticky, with a little sting.
Hassan Nasrallah|Are hackers a threat? The degree of threat presented by any conduct, whether legal or illegal, depends on the actions and intent of the individual and the harm they cause.
Harold Brodkey|Joshie has always told Post Human Services Staff to keep a diary, to remember who we were because every moment, our brains and synapses are being rebuilt and rewired with maddening disregard for our personalities, so that each year, each month, each day, we transfer into a different person, an utterly unfaithful iteration of our original selves, of the drooling kid in the sandbox. But not me. I am still a facsimile of my early childhood. I am still looking for a loving dad to lift me up and brush the sand off my ass and to hear English, calm and hurtless, fall off his lips.
David Abram, The Spell of the Sensuous: Perception and Language in a More-Than-Human World|We are human only in contact, and conviviality, with what is not human.
Rose Wynters, Delicate Devastation|No wonder she was so underweight. She was desperate to please a woman that could never be pleased, in the hopes of being loved and accepted by the very person that should be giving that freely.
Ariel Gordon|Two things consistently bring me pleasure: hot sweet tea and writing. Which is not to say that either are particularly good for me…I use entirely too much sugar and so far don’t find sucralose to be a good alternative. Also, writing is not a practice that engenders confidence. Quite the opposite. It’s about making yourself deliberately insecure so that you can write the next thing and have it be worth reading.And that’s not even taking into consideration the business end of things, which can make you bitter if you’re not careful…But I’ve spent my the bulk of my life to date figuring out the right mix of fat and sugar in my tea and also, how to get incrementally better (I hope…) at the writing, so I’m not giving it/them up!
Pablo Neruda|I will show her that loving her is my greatest truth, and the most beautiful thing I have ever known. ” — Gem
Dacha Avelin|In such uncommon longings, hidden in plain sight in our lives, does God call us.
Khaled Hosseini|and every day I thank [God] that I am alive, not because I fear death, but because my wife has a husband and my son is not an orphan.
John Updike|Energy, like the biblical grain of the mustard-seed, will remove mountains.
Deyth Banger|Off this fucking predictable soap opera, this will happen now, then that, then that and you say that you are christian and you start watching series of Turkey people which believe in a very different god so far god of hell - Allah...
Ramana Pemmaraju|The more I try to understand one very peculiar aspect of women, it seems clear to me that apart from the beauty or the sensuous state that women command over men, there is an interiority, lesser known to the masses which is more of agony and pain - a resultant effort of the continuous mood swings and the frequent natural cycles that buoy them, it is in this state that women function and calibrate on this basis in selecting their soul mate and not the usual histrionics that men take effort in pleasing them!
Madeleine L'Engle|Life is not easy and comfortable, with nothing ever going wrong as long as you buy the right product. It's not true that if you have the right insurance everything is going to be fine. That's not what it's really like. Terrible things happen. And those are the things we learn from.
Zooey Deschanel|After the first day of practice, there's not one guy who's playing at 100 percent or who feels great. Sometimes, getting up in the morning and brushing your teeth is the hardest part of the day - it just hurts.
Simon Singh, Trick or Treatment: The Undeniable Facts about Alternative Medicine|Perhaps the greatest danger in the way that alternative therapists behave is simply the promotion of their own treatments when patients should be in the care of a conventional doctor. There are numerous reports of patients with serious conditions (e.g. diabetes, cancer, AIDS) suffering harm after following irresponsible advice form alternative practitioners instead of following the advice of a doctor.
Amanda Ashton-Booth|Change is your gateway to opportunity, opportunities will lead you to a new and fulfilling life.
Pierce Brosnan|I'm a very loyal boyfriend. I'm a bit of a joker... I can be romantic, but not too sickly.
Walker Percy, Love in the Ruins|Lord, grant that my work increase knowledge and help other men. Failing that, Lord, grant that it will not lead to man’s destruction. Failing that, Lord, grant that my article in Brain be published before the destruction takes place.
Sylvia Earle|From a certain age, I sort of accepted myself for what I was. And although to other people it was like nothing ever goes right, I had a really nice attitude that I'd inherited from my parents, and especially from my dad.
Alfusainey jallow|She'd put her teeth in his heart, long ago, and he'd left the print there, evidence that he wanted her love. That he returned it.
Lawrence Martin, Harperland: The Politics Of Control|If the rules make such a difference, then it becomes very important who gets to make them.
Lisa Kleypas, It Happened One Autumn|Do the things I never did. Swear. Wear neon colours. Skydive. Climb fences. Ride horses naked. Say obscene things. Make love. Shout at people when they piss you off. Toot your horn. Scream. Become tainted and be proud of it. It’s who you are. You came into this world naked and blank, like a canvass, but I want you to go screaming out of it covered in every colour of the rainbow.
Mary Zimmerman, Metamorphoses|Let me die the moment my love dies. Let me not outlive my own capacity to love. Let me die still loving, and so, never die.
Richelle E. Goodrich, Slaying Dragons|The smaller the item of gratitude, the purer is the connection to our heart.
A.E. Housman, More Poems|Under the ground seep the toxins of the population that lives above. If you have to, you will eat roots and earthworms. It is always night. Candles burn in lanterns made from tin cans. When it is nighttime up above, you can crawl out, but only for a little while. You feel ashamed of your matted hair, your torn clothes, the dirt on your face. Who would want to speak to you? They are all shiny and pretty. They have parents and house with gardens. What do you have? The earth. Whole handfuls of it. The lizard people with their slit eyes and scaly skin. Your loneliness. Your longing.
Patrick Ness, The Knife of Never Letting Go|That's the thing I'm learning about being thrown out on yer own. Nobody does nothing for you. If you don't change it, it don't get changed.
Meagan Spooner, These Broken Stars|The stars were so simple when she was a kid, a smattering of glowing dust circling the Earth. She did not then know that each was a sun, most considerably more massive than the daylight one she knew.
Andrew Murray|Humility is perfect quietness of heart. It is to expect nothing, to wonder at nothing that is done to me, to feel nothing done against me. It is to be at rest when nobody praises me, and when I am blamed or despised. It is to have a blessed home in the Lord, where I can go in and shut the door, and kneel to my Father in secret, and am at peace as in a deep sea of calmness, when all around and above is trouble.
Marilyn Monroe|I have feelings too. I am still human. All I want is to be loved, for myself and for my talent. 
Kilroy J. Oldster, Dead Toad Scrolls|Personal tranquility consists in the orderly structuring of the mind, which occurs whenever a person engages in the exquisite practice of contemplating personal experiences, harmonizing time spent with other people, reading great books, and working on self-improvement.
David Dark|Religion isn't best understood primarily as a collection of beliefs held by backward people with fear and trembling for most of human history (religion as brainwash). It is rather, among other things, a scriptorium of beleaguered witness, a record of collated information, both fragmentary and sometimes systematic, with which we may feel compelled to reckon as it somehow, across history, reckons with us, an inheritance, if you like, of difficult wisdom.
Judith Merkle Riley, The Oracle Glass|Why the Romans, Father?" I asked him one afternoon. "Because, my child, they teach us how to bear suffering in a world of injustice where all faith is dead," he answered.
James Pedigo|I might be old and ugly now, but you started that way, Jack.
Kristin Cashore, Fire|No child, no matter what path they may have chosen, should be abandoned by the people who should love them the most. When two people come together and make the conscious decision to create a life, they have an obligation to protect and love that child until death.
Neil deGrasse Tyson, Space Chronicles: Facing the Ultimate Frontier|A few years after I gave some lectures for the freshmen at Caltech (which were published as the Feynman Lectures on Physics), I received a long letter from a feminist group. I was accused of being anti-women because of two stories: the first was a discussion of the subtleties of velocity, and involved a woman driver being stopped by a cop. There's a discussion about how fast she was going, and I had her raise valid objections to the cop's definitions of velocity. The letter said I was making the women look stupid. The other story they objected to was told by the great astronomer Arthur Eddington, who had just figured out that the stars get their power from burning hydrogen in a nuclear reaction producing helium. He recounted how, on the night after his discovery, he was sitting on a bench with his girlfriend. She said, "Look how pretty the stars shine!" To which he replied, "Yes, and right now, I'm the only man in the world who knows how they shine." He was describing a kind of wonderful loneliness you have when you make a discovery. The letter claimed that I was saying a women is incapable of understanding nuclear reactions. I figured there was no point in trying to answer their accusations in detail, so I wrote a short letter back to them: "Don't bug me, Man!
L.J Vanier|We are all spiritual beings, having a spiritual experience, while in physical bodies. What this means is that we continue to be through eternity, always changing and expanding. When we accept this, we realize that there are no limitations, other than those that we impose upon ourselves. Mastery is within our power—if we wish it to be.
Archibald Marwizi, Making Success Deliberate|Programming means your mindset, thought processes and frame of reference must be correctly wired and mapped to enable the incubation of thoughts and ideas that lead to success. Your subconscious mind is key in this process and will always look for ways and means, night and day, to fulfil and implement the thoughts that are always fed into it. It is your faithful servant. I call it the connection between God and man. It is an essential part of the human spirit.
Ambrose Bierce|When modeling agencies were saying that I was too big and gaining weight, my mom said, 'OK, we're going to discuss what they're saying over pizza, and we're going to plan the future of your career which doesn't involve you having to be skinny.'
Joyce Carol Oates, A Widow's Story|Nor do I like being told upsetting news—unless there is a good reason. I can’t help but feel that there is an element of cruelty, if not sadism, in friends telling one another upsetting things for no reason except to observe their reactions.
Holly Hood|Never been more truthful then right now, looking at you fixes everything.
Timothy J. Keller, The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God|Those dreaming of the perfect match are outnumbered by those who don't really want it at all, though perhaps they can't admit it. After all, our culture makes individual freedom, autonomy and fulfillment the very highest values, and thoughtful people know deep down that any love relationship at all means the loss of all three. You can say, 'I want someone who will accept me just as I am,' but in your heart of hearts you know that you are not perfect, that there are plenty of things about you that need to be changed, and that anyone who gets to know you up close and personal will want to change them.
Peter Gasser|A photograph is a click away. A good photograph is a hundred clicks away and a better one, a thousand clicks away
Paris Reidhead|If I had my way, I would declare a moratorium on public preaching of 'the plan of salvation' in America for one to two years. Then I would call on everyone who has use of the airwaves and the pulpits to preach the holiness of God, the righteousness of God, and the Law of God until sinners would cry out, 'What must we do to be saved?" Then I would take them off in a corner and whisper the gospel to them. Don't use John 3:16. Such drastic action is needed because we have a gospel hardened generation of sinners by telling them how to be saved before they have any understanding why they need to be saved.
Bruce L. Shelley, Church History in Plain Language|If we see some admirable work of human art, we are at once eager to investigate the nature, the manner, the end of its production; and the contemplation of the works of God stirs us with an incomparably greater longing to learn the principles, the method, the purpose of creation. This desire, this passion, has without doubt been implanted in us by God. And as the eye seeks light, as our body craves food, so our mind is impressed with the . . . natural desire to know the truth of God and the causes of what we observe." --Origen(185-254)
Ronnie McBrayer, The Jesus Tribe: Following Christ in the Land of the Empire|We preach grace, but we don’t always practice it. We talk about God’s mercy, but we don’t always want the people who need it most to know it or get in on it. We say we are in the redemption business, but the door to that redemption is often locked by us from the inside. We say, “Come in! All are welcome!” but “all” is often marked with an asterisk. How, I ask, can the world change – how can heaven come to earth – if we stingily protest against God for his grace to others, grace we have freely received ourselves? How can we pray “thy kingdom come,” and be resentful toward God and those he allows to enter the kingdom in his way and his timing?
Ellen Hopkins, Burned|Maturity is when you're able to say, 'It's not just them. It's me.
Dudley Young|A five-word sentence that could change the world tomorrow is "What would love do now?"
Christy  Hall, The Little Silkworm|You’ll have days of complete lack of faith in your abilities. But you have to keep coming back. That’s when you know you’re a writer – when you take the failures and appear at the desk again, over and over again.
Steve Maraboli|To determine not to think of it was but to think of it still, to suffer from it still.
J.K. Rowling|You don’t get to rewind your life like a tape and splice it back together, pretending it never knotted and tore, when it did and you know it did.
Peggi Speers, The Inspired Caregiver: Finding Joy While Caring for Those You Love|Poverty Effeciency Syndrome are multiple negative poverty effects (Self induced effects,acquired,inherited..)
William Paul Young, The Shack|...if anything matters then everything matters. Because you are important, everything you do is important. Every time you forgive, the universe changes; every time you reach out and touch a heart or a life, the world changes; with every kindness and service, seen or unseen, my purposes are accomplished and nothing will be the same again.
William James|Always take all the time to reflect that circumstances permit, but when the time for action has come, stop thinking. (Andrew Jackson)
Auliq-Ice|Life doesn't give you much, but for the ones who want to learn, life teaches them how to be strong before they start living their lives instead of just existing in this world.
Mary Tornyenyor|Flame itself is something that produces light via a chemical reaction, its not an opaque object unless its a very sooty flame.May i not have sooth in me Lord. MAY I BE A LIGHT WHEREVER I BE
Mitch Albom|While Leo fussed over his helm controls, Hazel and Frank relayed the story of the fish-centaurs and their training camp.'Incredible,' Jason said. 'These are really good brownies.''That's your only comment?' Piper demanded.He looked surprised. 'What? I heard the story. Fish-centaurs. Merpeople. Letter of intro to the Tiber River god. Got it. But these brownies--''I know,' Frank said, his mouth full. 'Try them with Ester's peach preserves.''That,' Hazel said, 'is incredibly disgusting.''Pass me the jar, man,' Jason said.Hazel and Piper exchanged a look of total exasperation. Boys.
Dominique Vandorien|This love beyond time and space, it knows only it's own truth." Immortalis Amor, Darkest Secrets
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Delight and cheer in life, and let it uplift and inspire you. Spread happiness.
Sam Killermann|Loneliness is a poison, but aloneness is a catalyst.
Ian Anderson|I Like this quote I dislike this quote“My house is run, essentially, by an adopted, fully clawed cat with a mean nature.
H.W. Brands|It is more important to me that my students come out of my class believing 'This story is interesting and I might want to know more about it', than to fill them up with information. If I can remind them or convince them that history is interesting then I feel I have succeeded, because unlike chemistry or physics, history is a subject that anyone can teach themselves, if they are interested."[
Wendy Werneth|Spain is more vegan-friendly than you've been led to believe. The truth is, most places are.
Nina Guilbeau|When you lose someone, you get used to living day to day without them. But you’ll never get used to the “10 second heartbreak.” That’s the time it takes to wake to full consciousness each day and remember…
Olivia Sudjic, Sympathy|A neon-pink 3 flickered and instantly disappeared again into the dark. The sight of it on my own device now made me sick. I held my finger down on the menu screen; each little app logo began to vibrate. I deleted the 3. I contemplated deleting everything. Cleaning it all away. The idea had a charm, a self-cancellation, many little suicides, a way to dispatch myself without actually going anywhere.
Elizabeth Gaskell|...I know I was wrong. If i could go back and do it over, I would. I wish I could undo it all."I know that." Grandma reached over and put a twisted hand on hers. "'Though your sins be as scarlet, they shall be as white as snow.' Isaiah one eighteen."I've done terrible things."Don't make no difference. You can't out-sin the cross.
Carl Sagan|In that case, on behalf of Earthlife, I urge that, with full knowledge of our limitations, we vastly increase our knowledge of the Solar System and then begin to settle other worlds.
Jane Yolen, A Sending of Dragons|You've got some power," Jakkin said. "One hug—and the lights go out!
Claire Danes|I went to my son's graduation this weekend, and I heard a great quote I've never heard before from Albert Einstein. It was that the greatest danger to the world is not the bad people but it's the good people who don't speak out.
Lady Gaga|My new album that I'm creating, which is finished pretty much, was written with this new instinctual energy that I've developed getting to know my fans. They protect me, so now it's my destiny to protect them.
Sonny Perdue|If it's a good idea, go ahead and do it. It's much easier to apologize than it is to get permission.
Mohiro Kitoh, Bokurano: Ours, Vol. 8|I don't really know a whole lot about complicated, worldly things. But I think parents and siblings, they need to be able to care for each other unconditionally. How many people could you risk your life to protect? Not that many, I bet. Everyone's top priority is taking care of themselves. But if there's anyone who can overcome that, it's flesh and blood. If you understand that feeling, then you can look at other people, and realize, this person's family cares about them, too. That's a really heavy feeling. When you think about that, it becomes a lot harder to do horrible things to them. So I think that love for your family....is really at the root of what it means to care for other people.
Joseph Heller, Catch 22|So many things were testing his faith. There was the Bible, of course, but the Bible was a book, and so were Bleak House, Treasure Island, Ethan Frome and The Last of the Mohicans. Did it then seem probable, as he had once overheard Dunbar ask, that the answers to riddles of creation would be supplied by people too ignorant to understand the mechanics of rainfall? Had Almighty God, in all His infinite wisdom, really been afraid that men six thousand years ago would succeed in building a tower to heaven?
William Goldman, The Princess Bride|I must court her now,' said the Prince. 'Leave us alone for a minute.' He rode the white expertly down the hill.	Buttercup had never seen such a giant beast. Or such a rider.	'I am your Prince and you will marry me,' Humperdinck said.	Buttercup whispered, 'I am your servant and I refuse.'	'I am your Prince and you cannot refuse.'	'I am your loyal servant and I just did.'	'Refusal means death.'	'Kill me then.'	'I am your Prince and I’m not that bad — how could you rather be dead than married to me?'	'Because,' Buttercup said, 'marriage involves love, and that is not a pastime at which I excel. I tried once, and it went badly, and I am sworn never to love another.' 	'Love?' said Prince Humperdinck. 'Who mentioned love? Not me, I can tell you. Look: there must always be a male heir to the throne of Florin. That’s me. Once my father dies, there won’t be an heir, just a king. That’s me again. When that happens, I’ll marry and have children until there is a son. So you can either marry me and be the richest and most powerful woman in a thousand miles and give turkeys away at Christmas and provide me a son, or you can die in terrible pain in the very near future. Make up your own mind.'	'I’ll never love you.'	'I wouldn’t want it if I had it.'	'Then by all means let us marry.
Chris Hedges, American Fascists: The Christian Right and the War On America|The split in America, rather than simply economic, is between those who embrace reason, who function in the real world of cause and effect, and those who, numbed by isolation and despair, now seek meaning in a mythical world of intuition, a world that is no longer reality-based, a world of magic.
Hugh MacLeod, Ignore Everybody: and 39 Other Keys to Creativity|If your business plan depends on suddenly being "discovered" by some big shot, your plan will probably fail. Nobody suddenly discovers anything. Things are made slowly and in pain.
Muni Natarajan|In the monastery, you are always in some kind of a situation where you are pressured so that your worst qualities come up. But you actually want that to happen so you can deal with them
Thomas Ligotti, The Conspiracy Against the Human Race|... whatever family name has been given to a case of depression, it has an objective in common with all its kind: to sabotage the network of emotions you had come to identify as the composition of yourself. It is then you discover that your “old self” is not the substantial and inviolable thing you thought it was, nor was the rest of your “old” reality.
Onyi Anyado|The joy and laughter and youth they brought was an antidote to the somberness enveloping his flat, the hours when he felt the very walls and ceilings were encrusted with the distress of of unhappy decades
Didier Anzieu, Le Corps De L'oeuvre|Reading is, with friendship, one of the surest contributions to the work of grieving. It helps us, more generally, to grieve for the limitations of our life, the limitations of the human condition.
Steven Kotler, Stealing Fire: How Silicon Valley, the Navy SEALs, and Maverick Scientists Are Revolutionizing the Way We Live and Work|Several serious medical studies and entire referenced books show that lowering cholesterol with medications did NOT reduce the number of deaths by stroke nor the amount of sickness, including heart attacks and (Atkins, Herbert, TW, Suurbula, Ravnskov, Smith). In addition, some commonly prescribed cholesterol-lowering drugs actually lowered the good HDL cholesterol as well (Johansson), putting you at higher risk of an early heart attack.
Lailah Gifty Akita|The sweet pleasure of prayer, the grace of the soul.
Deborah Blake, Wickedly Magical|Hmm," she said. "'Curiouser and curiouser,' to quote Alice.
Rahul Dravid|Just as the Internet drops transaction and collaboration costs in business and government, it also drops the cost of dissent, of rebellion, and even insurrection.
William Ernest Henley, Echoes of Life and Death;|Find the Grace in the things you can’t change, and help somebody if you can.
Shamus McCarty, Texas Biker Zombies From Outer Space|What makes us the strongest tribe on the continent is the fact that a group that opposes these values--a group that would have mankind remain in the new dark ages--is permitted to grow, permitted to exist...and, after it becomes a violent terrorist organization, is allowed to live on it own lands, taken out of the lands of those it has attacked and continues to attack!" He had to stop speaking then--the applause was louder than even his amplified voice. "They expect that fear will drive us to become like them...closed-minded, blind, angry. Our society will remain open and free so long as I am standing upright," he continued, once the applause died down.
Samuel Richardson, Clarissa, or, the History of a Young Lady|The Piper is coming nearer," he said, "he is nearer than he was that evening I saw him before. His long, shadowy cloak is blowing around him. He pipes - he pipes - and we must follow - Jem and Carl and Jerry and I - round and round the world. Listen - listen - can't you hear his wild music?
Rei Kawakubo|There's a lot of shoes that people consider high-end fashion, from Balenciaga to this and that or whatever, and the Pro Models are very similar to me. They're very fashionable to me - the design and the shape of them. I just like them.
Sierra Lawrimore|Something to remember... You only get one chance to grow and live, so make it Beautiful!
Lorii Myers, No Excuses, The Fit Mind-Fit Body Strategy Book|Making a decision takes a moment, living a decision takes a life-time.
Philip G. Zimbardo, Man, Interrupted: Why Young Men Are Struggling & What We Can Do about It|Western societies want men to be upstanding, proactive citizens who take responsibility for themselves, who work with others to improve their communities and nation as a whole. The irony is that society is not giving the support, guidance, means, or places for these young men even to be motivated or interested in aspiring to these goals. In fact, society - from politics to the media to the classroom to our very own families - is a major contributor to this demise because it is inhibiting young men's intellectual, creative, and social abilities right from the start. And the irony is only compounded by the fact that men play such a powerful part in society, which means they are effectively denying their younger counterparts the opportunity to thrive.
Sherwood Smith|Teen fiction should be about teenagers - no matter how many arguments there are about what YA lit should be, this seems like the one thing we can all agree on.
Mahatma Gandhi|If I have the belief that I can do it, I shall surely acquire the capacity to do it even if I may not have it at the beginning.
Charlotte Brontë, Jane Eyre|Then my sole relief was to walk along the corridor of the third storey, backwards and forwards, safe in the silence and solitude of the spot, and allow my mind's eye to dwell on whatever bright visions rose before it - and, certainly, they were many and glowing; to let my heart be heaved by the exultant movement, which, while it swelled it in trouble, expanded it with life; and, best of all, to open my inward ear to a tale that was never ended - a tale my imagination created, and narrated continuously; quickened with all of incident, life, fire, feeling, that I desired and had not in my actual existence.
Ursula K. Le Guin, A Wizard of Earthsea|Have you never thought how danger must surround power as shadow does light? This sorcery is not a game we play for pleasure or for praise. Think of this: that every word, every act of our Art is said and is done either for good, or for evil. Before you speak or do you must know the price that is to pay!
|No one has ever changed the outcomes of the future by constantly worrying about it. Therefore, your goal should be to always focus on the present and give it all that you have in you.
Aldous Huxley, Brave New World / Brave New World Revisited|So long as you do not achieve social liberty, whatever freedom is provided by the law is of no avail to you.
Jack Donovan, The Way of Men|When men evaluate each other as men, they still look for the same virtues that they’d need to keep the perimeter. Men respond to and admire the qualities that would make men useful and dependable in an emergency. Men have always had a role apart, and they still judge one another according to the demands of that role as a guardian in a gang struggling for survival against encroaching doom. Everything that is specifically about being a man—not merely a person—has to do with that role
Ludwig von Mises, The Theory of Money and Credit|Consistently and uninterruptedly continued inflation must eventually lead to collapse. The purchasing power of money will fall lower and lower, until it eventually disappears altogether. It is true that an endless process of depredation can be imagined. We can imagine the purchasing power of money getting continually lower without ever disappearing altogether, and prices getting continually higher without it ever becoming impossible to obtain commodities in exchange for notes. Eventually this would lead to a situation in which even retail transactions were in terms of millions and billions and even higher figures; bu t the monetary system itself would remain. But such an imaginary state of affairs is hardly within the bounds of possibility. In the long run, a money which continually fell in value would have no commercial utility. It could not be used as a standard of deferred payments. For all transactions in which commodities or services were not exchanged for cash, another medium would have to be sought. In fact, a money that is continually depreciating becomes useless even for cash transactions. Everybody attempts to minimize his cash reserves, which are a source of continual loss.
Albert Jay Nock|It was Thomas Edison who brought us electricity, not the Sierra Club. It was the Wright brothers who got us off the ground, not the Federal Aviation Administration. It was Henry Ford who ended the isolation of millions of Americans by making the automobile affordable, not Ralph Nader. Those who have helped the poor the most have not been those who have gone around loudly expressing 'compassion' for the poor, but those who found ways to make industry more productive and distribution more efficient, so that the poor of today can afford things that the affluent of yesterday could only dream about.
Miyakahi Hayao|I do not know where to go, but I have been on the road.
Tom Stoppard, Rosencrantz and Guildenstern Are Dead|All the labor of all the ages, all the devotion, all the inspiration, all the noonday brightness of human genius are destined to extinction. So now, my friends, if that is true, and it is true, what is the point?
Debasish Mridha|There is only one truth, and that is love, all others are a byproduct.
Pierce Brosnan|My dad always told me to stand up to bullies, and Bill O'Reilly is kind of a bully, and he's the kind of kid who hits other kids on the playground. And when you hit him, he runs to the teacher and says, 'Teacher, sue him.'
Sylvia Plath, The Bell Jar|I saw the years of my life spaced along a road in the form of telephone poles threaded together by wires. I counted one, two, three... nineteen telephone poles, and then the wires dangled into space, and try as I would, I couldn't see a single pole beyond the nineteenth.
Samuel P. Huntington, The Clash of Civilizations and the Remaking of World Order|Arabs and other Muslims generally agreed that Saddam Hussein might be a bloody tyrant, but, paralleling FDR's thinking, "he is our bloody tyrant." In their view, the invasion was a family affair to be settled within the family and those who intervened in the name of some grand theory of international justice were doing so to protect their own selfish interests and to maintain Arab subordination to the west.
Matt Dunn, The Ex-Boyfriend's Handbook|Because that's what unfaithfulness is, isn't it? A cancer that's always there in the back of your mind, eating away at the foundations of the relationship.
Garrison Keillor|If you do what you love, it is the best way to relax.
A.E. Via|Day slammed the door behind Johnson, leaving just him and his partner in the room alone. Day hit the lights.“Setting the mood, Leo?” God grinned at him.“I want to talk to you now.”“You can’t always get what you want, Leonidis,” God rebutted.“I want you,” Day said with no hesitation.The room was deathly silent. After a few long seconds God responded simply, “No you don’t.”“I do. Isn’t it obvious?” Day moved a little closer.“You don’t know what the fuck you want. I’ve watched you for four years, jumping from bed to bed and fucking your way through half of Atlanta. I have one emotional night and all of a sudden you want me…fuck you,” God said in his gruffest voice.Day’s body heated instantly at the sound. He moved even closer to where God was standing on the opposite side of the table.“Oh, I’m sorry. I didn’t realize I was supposed to be saving myself for marriage, and even more so, I didn’t realize you were a goddamn virgin. How many women have I seen you fuck in that pussy-getting truck of yours, huh?” Day lowered his voice as he stood directly in front of God. “Just tell me you didn’t feel what I did last night.” He closed the small gap, not minding God’s height at all, and looked up into electric-green eyes. “Tell me you don’t want me too, and I’ll back the fuck off.”God looked down at him and Day could see the uncertainty all over that ruggedly handsome face.“Shit’s complicated, Leo.” God’s breath ghosted across his forehead.“Make me understand, Cashel,” Day whispered and slowly brought his hands up to rest on God’s waist.
Kilroy J. Oldster, Dead Toad Scrolls|Writing a memoir is a holistic method of learning and healing by placing responsibility for personal transformation on the spiritual authority of the self. Writing a person’s life story is useful to gain a comprehensive understanding regarding a person’s maturation, distinctive stages of personal development, and the influences provided by their family and society. The writing processes also serves as a catharsis for painful personal events that a person seeks to integrate into their transmuting being. Writing our personal story, we discover new dimensions of our being.
Dietrich Bonhoeffer, Life Together: The Classic Exploration of Christian Community|We pray for the big things and forget to give thanks for the ordinary, small (and yet really not small) gifts.
